id,district,address,create_time,latitude,longitude
88,gangnam,삼성동 테헤란로87길17,2024-11-24 21:15:29,37.5088288,127.0585378
93,gangnam,논현동 86-2,2024-11-24 21:15:29,37.5123018,127.0294935
94,gangnam,삼성동 제이에스타워,2024-11-24 21:15:29,37.5073745,127.0559502
95,gangnam,삼성동 삼성로91길36,2024-11-24 21:15:29,37.5065928,127.0534203
96,gangnam,삼성동 테헤란로425,2024-11-24 21:15:29,37.506252,127.0534078
97,gangnam,대치동 테헤란로92길12-9,2024-11-24 21:15:29,37.5067954,127.0605528
98,gangnam,대치동 테헤란로88길10,2024-11-24 21:15:29,37.5068487,127.0594706
99,gangnam,대치동 테헤란로514,2024-11-24 21:15:29,37.5074886,127.0596678
100,gangnam,논현동 학동로4길18,2024-11-24 21:15:29,37.5098189,127.0235113
102,gangnam,역삼동 강남대로408,2024-11-24 21:15:29,37.4992268,127.0275554
103,gangnam,역삼동 테헤란로2길27,2024-11-24 21:15:29,37.4964289,127.0296588
104,gangnam,삼성동 삼성로96길26-6,2024-11-24 21:15:29,37.5087371,127.0580246
105,gangnam,삼성동 테헤란로447,2024-11-24 21:15:29,37.5070661,127.0560921
106,gangnam,삼성동 테헤란로81길22,2024-11-24 21:15:29,37.5085085,127.0569583
107,gangnam,삼성동 테헤란로503,2024-11-24 21:15:29,37.5073996,127.0572957
108,gangnam,삼성동 테헤란로81길9,2024-11-24 21:15:29,37.5105267,127.0558633
109,gangnam,삼성동 삼성로92길23,2024-11-24 21:15:29,37.5082289,127.0582489
110,gangnam,삼성동 테헤란로81길16,2024-11-24 21:15:29,37.5082081,127.057161
111,gangnam,삼성동 테헤란로83길32,2024-11-24 21:15:29,37.5096355,127.0571809
112,gangnam,삼성동 삼성로96길6,2024-11-24 21:15:29,37.5087041,127.0560457
113,gangnam,대치동 한국문화의집,2024-11-24 21:15:29,37.5067954,127.0605528
114,gangnam,대치동 섬유센터,2024-11-24 21:15:29,37.5076714,127.060173
115,gangnam,대치동 루첸타워,2024-11-24 21:15:29,37.50700745,127.05864679443752
119,gangnam,논현동 학동로172,2024-11-24 21:15:29,37.5134941,127.029901
120,gangnam,논현동 학동로120,2024-11-24 21:15:29,37.5117511,127.0242772
122,gangnam,논현동 강남대로122길23,2024-11-24 21:15:29,37.508435,127.0248303
123,gangnam,역삼동 강남대로94길10,2024-11-24 21:15:29,37.4992031,127.0280661
125,gangnam,역삼동 테헤란로123,2024-11-24 21:15:29,37.4995645,127.0314101
126,gangnam,신사동 609-3,2024-11-24 21:15:29,37.52232055,127.02770186675215
127,gangnam,대치동 테헤란로88길14,2024-11-24 21:15:29,37.5065499,127.0597492
128,gangnam,대치동 메트로칸,2024-11-24 21:15:29,37.5068781,127.0595402
129,gangnam,삼성동 삼성로511,2024-11-24 21:15:29,37.5171611,127.0514085
130,gangnam,대치동 테헤란로86길10,2024-11-24 21:15:29,37.506607,127.0591119
131,gangnam,삼성동 테헤란로69길8,2024-11-24 21:15:29,37.5064888,127.0528488
133,gangnam,대치동 KT대치빌딩,2024-11-24 21:15:29,37.5052282,127.0525409
