연번,도로명주소,상세위치
한강로동-21,한강대로38길 35 (미군부대 14번 게이트 앞),(이면도로) 아모레퍼시픽 및 삼일회계법인 담배꽁초 무단투기 구역
한강로동-22,한강대로21길 17-2 앞 (드래곤힐스파 옆),"(거주자우선주차구역) 주차차량 무단투기, 담배꽁초, 노숙자 무단투기 발생"
한강로동-23,한강대로21길 29 앞 (코레일 서울전기사업소),(이면도로) 코레일 및 인근 주택가에서 무단투기
한강로동-24,한강대로21길 17-7 옆 (농아노인센터),(이면도로) 인근 음식점 및 무료급식소 노숙자 무단투기 발생
한강로동-25,한강대로15길 2-9 앞 전신주 (라운드스시 옆),(이면도로) 골목길 안쪽 및 주변 사업장에서 무단투기
한강로동-26,한강대로21가길 47 앞 전신주 (연세우유 앞),(이면도로) 한강로3가 40번지 좁은 골목 안쪽 문전수거가 안 돼 무단투기
한강로동-27,한강대로15길 19-15 앞 (한강로3가자율방범대),(이면도로) 폐지수집 어르신 무단적치 및 인근 음식점 무단투기
한강로동-28,한강대로7길 23-4 앞 전신주 (장미맨션),(이면도로) 장미맨션 및 안쪽 골목길 주택에서 무단투기
한강로동-29,이촌로29길 18 옆 벽면 (용산드림부동산),(이면도로) 철도부지 골목 안쪽 무허가주택 밀집지역에서 무단투기
한강로동-30,한강로3가 40-918 옆 (빙창펌프장),(이면도로) 철도부지 골목 안쪽 무허가주택 밀집지역에서 무단투기
한강로동-31,한강로3가 40-1044 앞 (더새론환경 휴게실),(이면도로) 철도부지 골목 안쪽 무허가주택 밀집지역에서 무단투기
한강로동-32,한강대로14길 26 건너편(전 중대병원 뒤편),(이면도로) 보도 위 도배업자 무단적치 및 인근 음식점에서 무단투기
한강로동-33,한강대로10길 11-74 앞 전신주 (우리맛집),(이면도로) 골목 안쪽 주택에서 다양한 무단투기 및 보행자 담배꽁초 무단투기
한강로동-34,한강대로10길 14(쌍용아파트 옆),(이면도로) 인근 음식점 및 65번지에서 무단투기 발생
한강로동-35,한강대로14가길 (LG유플러스 뒤편),(이면도로) LG유플러스 및 하이브 담배꽁초 무단투기 구역
한강로동-36,서빙고로20길 13 앞 의류수거함,(이면도로) 인근 주택가에서 무단투기 발생
한강로동-37,한강대로 56-1 앞 (한강동 앞),(대로변) 인근 음식점 및 한강로3가 65번지 주택가에서 무단투기
이촌1동-1,"이촌로65가길 72, 이촌떡볶이 앞 삼거리","담배꽁초, 잡쓰레기 무단투기"
이촌1동-2,"이촌로 77길 9, 이촌우체국 앞","상업지역, 학교 담 옆, 우체국 앞, 쓰레기봉투 미사용, 혼합배출  등"
이촌1동-3,"이촌로65가길 3, 한강대우 110동 옆 ","담배꽁초, 거주자우선 주차구역에 주차 후 차량의 잡쓰레기(음식물)무단투기"
이촌1동-4,이촌역 4번 출구 앞,"담배꽁초, 잡쓰레기무단투기"
이촌1동-5,이촌역 3-1번 출구 주변,"담배꽁초, 잡쓰레기무단투기"
이촌1동-6,"이촌로 89길 50, 한강교회 앞","담배꽁초, 잡쓰레기무단투기"
이촌1동-7,이촌로 84길 34 중경고등학교 앞,"담배꽁초, 생활폐기물 무단투기"
이촌1동-8,이촌로 75길 이마트 24~한강치킨 앞,거주자우선주차구역 내 담배꽁초 등 무단투기
이촌2동-1,"이촌로22길 20, 의류수거함 옆","주거밀집지역, 편의점 앞"
이촌2동-2,"이촌로18길 15-5, 반찬가게 앞","주거지역, 쓰레기 수거 거점지역, 유동인구 많음"
이촌2동-3,"이촌로18길 6, 버스정류장 옆",유동인구 많음
이촌2동-4,이촌로 66-1,쓰레기 수거 거점지역
이촌2동-5,"이촌로14길 16, 시범아파트7동 앞","주거밀집지역, 쓰레기수거 거점지역"
이촌2동-6,"이촌로2가길 11, 맞은편","주거밀집지역, 대형폐기물 무단투기"
이촌2동-7,"이촌로2가길 25, 맞은편","주거밀집지역, 대형폐기물 무단투기"
이촌2동-8,"이촌로18길 15-14, 삼양아파트 앞",대형폐기물 및 쓰레기 무단투기
이촌2동-9,"이촌로2길 17, 도로변","도로변, 대형폐기물 및 쓰레기 무단투기"
이촌2동-10,"이촌로34길 29, 현대한강아파트 103동 앞 보도","주거지역, 상업지역, 담배꽁초 및 쓰레기 무단투기"
이촌2동-11,"이촌로18길 13, 전신주","주거지역, 대형폐기물 및 쓰레기 무단투기"
이촌2동-12,"이촌로14길 11-6, 편의점 앞","주거지역, 유동인구 많음, 담배꽁초 및 쓰레기 무단투기"
이태원1동-1,이태원로27가길 13 건너편,"상업지역, 쓰레기 수거 거점지역"
이태원1동-2,녹사평대로26길 82,"도로맨홀, 막다른 골목길"
이태원1동-3,녹사평대로40다길 43,쓰레기 수거 거점지역
이태원1동-4,이태원로16길 19,세입자 거주지역
이태원1동-5,녹사평대로26길 43,쓰레기 수거 거점지역
