statistic,id,create_time,latitude,longitude
count,3886.0,3886,3886.0,3886.0
mean,3939.9449305198145,2024-11-24 21:15:29,37.50600670778603,127.04016531212483
min,1.0,2024-11-24 21:15:29,37.46332675,126.83737132688779
25%,1924.25,2024-11-24 21:15:29,37.49988,127.0296723
50%,4097.0,2024-11-24 21:15:29,37.5069314,127.0405032
75%,5993.25,2024-11-24 21:15:29,37.5125083375,127.0493887
max,7573.0,2024-11-24 21:15:29,37.6114029,127.21338724732853
std,2299.0864979148782,,0.013137322820188035,0.022287074534301652
